title,epi,page,tb,words
EJ02,003,00004,17,"['tam', 'going', 'to', 'teach', 'this', 'man', 'a', 'lesson', ""I'm"", 'going', 'to', 'completely', 'overwhelm', 'hin']"
EJ04,005,00002,6,"['/', 'HOW', '/', 'NOSTAL-', 'GIC', 'I', 'USED', 'TO', 'WATCH', 'THIS', 'A', 'LOT', 'WHEN', 'I', 'WAS', 'A', 'KID']"
EJ09,002,00001,1,"[""THERE'S"", 'NOTHING', 'TO', 'DO']"
EJ09,003,00007,10,"['A-ABSO-', 'LUTEL\xe2\x84\xa2.--']"
EJ09,008,00005,5,['NO']
EJ09,005,00005,22,[]
EJ09,006,00008,7,[]
EJ09,010,00007,4,[]
EJ01,007,00001,6,"['THE', 'ORGUE', 'WILL', 'ONLY', 'AWAKEN']"
EJ02,006,00006,3,"['ANYTHING', 'AI']"
EJ10,002,00007,10,[]
EJ10,004,00007,11,"['\xe2\x80\x9cEGG\xe2\x80\x9d', 'OF', 'THE', 'BLACK\xe2\x80\x99', 'GOAT']"
EJ10,006,00008,2,[]
EJ02,001,00008,7,"['*A', 'container', 'used', 'to', 'keep', 'a', 'player\xe2\x80\x99s', 'stones']"
EJ02,008,00008,5,"['TOYA', 'MEIJIN2)']"
EJ03,002,00011,13,"[""Z'll"", 'PASS', 'HIM']"
EJ10,008,00008,4,"['You', 'SMELL', 'LIKE', 'A', 'FEMALE', 'GHOUL']"
EJ05,004,00012,2,"['\xe2\x80\x98I', 'PRO-', 'NOUNCE', 'THE', 'ACCUSED', 'TENTO', 'NANA-', 'J', 'HOSHI', 'oo']"
EJ03,004,00005,1,"['TAS', ""Guy's"", 'PEDALING', 'ONE', 'MORE', 'TIME']"
EJ06,004,00008,2,['Oh']
EJ06,003,00005,1,['DAN']
EJ03,005,00011,6,"['Z\xe2\x80\x99Ll', 'CATCH', 'HIM', '/N', 'NO', 'T/ME']"
EJ03,008,00006,17,"['you', '', ""DON'T"", 'THINK', ""HE'S"", 'BEEN', 'RIDING', 'LIKE', '', 'THAT']"
EJ01,001,00001,2,"['BUT', 'AS', 'INTER-', 'PLANETARY', 'EXCHANGE', 'BECAME', 'MORE', 'WIDE-', 'SPREAD']"
EJ01,002,00004,1,"['\xe2\x80\x94-', 'WHAT', 'SHOULD', 'I', 'DOF', 'WHAT', 'SHOULD', 'I', 'POF', 'WHAT', 'AM', 'I', 'SUPPOSED', 'TO', 'DOF', 'WHAT', 'AM', 'I', 'SUPPOSED', 'TO', 'DOF', 'WHAT', 'DO', 'I', 'NEED', 'TO-LOF', 'WHAT', 'MUST', 'I', 'POF', 'SS', 'Wy', '\\', 'A', 'Naar', '\xe2\x80\x9cRSS']"
EJ05,001,00009,9,"['1', 'TO', 'CUTELY', 'VANQUISH', 'ALL', 'MANNER', '\xe2\x80\x98', 'OF', 'EVIL']"
EJ05,003,00002,6,"['I', 'HEAR', 'THAT', 'THERE', 'ARE', 'A', 'NUMBER', 'OF', 'GIRLS']"
EJ05,007,00003,27,"['OKAY', 'I', 'HAVE', 'YOUR', 'TESTS', 'FROM', 'FIRST', 'PERIOD']"
EJ06,006,00011,25,"['THEY', 'SHOULD', 'BE', 'ABOUT', 'READY']"
EJ05,008,00005,16,['OnvawK-']
EJ06,002,00002,6,[]
EJ01,004,00006,23,"[""YOU'VE"", 'ALWAYS', 'BEEN', 'A', 'SELFISH', 'Boy']"
EJ02,005,00002,4,['VAY']
EJ05,009,00008,11,"['ITS', 'ALL', 'SEEN', 'STOLEN', 'IVE', 'SEEN', 'CLEANEDP', 'OMT']"
EJ03,001,00006,4,"['ALL', 'THE', 'ges', 'LOVE', 'CAN', 'age', 'A', 'TOGETHER', '4-7', '1ha']"
EJ05,006,00001,7,"['BROUGHT', 'TO', 'YOU', 'BY', 'ME', 'SHOP', 'GENIUS', 'WAKL-WAKU']"
EJ06,008,00005,10,"['++', '-BE-', 'CAUSE', ""THEY'RE"", 'COLONIES', 'OF', 'INDI-', 'VIDUALS', 'ANYWAY', '-']"
EJ01,008,00007,9,"['YOU', 'ARE', 'OBLIGATED', 'TO', 'CHOOSE', 'YOURSELF', 'NO', 'MATTER', 'WHAT']"
EJ07,008,00008,4,"['_', 'OUTTA', 'MY', 'WAY', 'WEAKLINGS']"
EJ06,005,00010,20,"['I', 'WANT', 'TO', 'COUNT', 'ON', 'YOUR', 'STRENGTHS']"
EJ07,005,00003,0,[]
EJ04,009,00004,9,"['OH', 'THERE', 'HE', 'IS/']"
EJ08,001,00009,13,['KYOUTAROU']
EJ01,005,00007,17,"[""DON'T"", 'WORRY', 'I\xe2\x80\x99LL', 'GET', 'RID', 'OF', 'THOSE', 'BANDITS', 'FOR', 'You']"
EJ08,003,00003,7,['\xc2\xa2w00']
EJ08,005,00002,0,"['WAIT', 'MURA-', 'SAN']"
EJ07,001,00009,1,"['I', 'AM', 'VAC-', 'CINE', 'MAL', ""'""]"
EJ08,009,00003,9,"['Lt', 'WILL', 'WIN', 'fT']"
EJ02,003,00004,18,"['Then', 'he\xe2\x80\x99ll', 'know', 'how', 'it', 'feels', 'to', 'be', 'on', 'the', 'receiving', 'end', 'of', 'such', 'cruel', 'play', '']"
EJ09,002,00002,0,"['THESE', 'BASIC', 'TASKS', 'WE', 'FINISHED', 'THEM', 'SO', 'QUICKLY']"
EJ04,005,00002,7,"['OH', 'YEAH', 'PENGU', 'IS', 'MODELED', 'AFTER', 'AN', 'EMPEROR', 'PENGUIN']"
EJ09,003,00007,11,['_--NOT']
EJ09,008,00005,6,"['(3)', 'IS', 'IT', 'WARM', 'OR', 'COLD']"
EJ09,005,00005,23,[]
EJ09,006,00008,8,['UM']
EJ09,010,00007,5,"['Li', 'CANITe', 'BELIEVE']"
EJ01,007,00001,7,"['+sONCE', 'ASTRO', 'RECOGNIZES', 'SOMEONE', 'AS', 'AN', 'ENEMY', 'AND', 'DECIDES', 'TO', 'PUNISH', 'THEM']"
EJ02,006,00006,4,"['\xe2\x80\x9cTHAT', 'BOY', 'SAID', ""HE'S"", 'NEVER', '\xe2\x80\x9cPLAYED', 'BEFORE', '/']"
EJ10,002,00007,11,"['HE', 'NEEDS', 'ORGAN', 'TRANSP']"
EJ10,006,00008,3,[]
EJ02,001,00008,8,"['To', 'have', 'one', 'of', 'your', ""opponent's"", 'stones', 'mixed', 'in', 'with', 'your', 'own', 'is', 'highly', 'unusual', 'but', 'on', 'occasion', 'it', 'has', 'been', 'known', 'to', 'happen']"
EJ10,004,00007,12,"['DOES', 'THAT', 'MAKE', 'ME', 'THE', 'EGG', 'OFA', '~', 'GHOUL', '', '/']"
EJ02,008,00008,6,['TOYA']
EJ03,002,00011,14,"['Le', 'PASS', 'HIM']"
EJ10,008,00008,5,[]
EJ03,004,00005,10,"['I', ""CAN'T"", 'UNDER-', 'STAND', 'HOW', 'JOCKS', 'THINK']"
EJ05,004,00012,3,"['NOT', 'GUILTY']"
EJ06,004,00008,20,"['THEN', 'HURRY', 'HURRY', 'AND', 'MAKE']"
EJ03,006,00001,0,[]
EJ06,003,00005,10,"['+', 'AND', 'WHEN', 'AN', 'ANIMAL', 'TOUCHES', 'IT', 'THE', 'PLANT', 'PULLS', 'IT', 'CLOSE', 'ON', 'REFLEX']"
EJ03,008,00006,18,"['-', 'EVER', 'SINCE', 'THEN']"
EJ01,001,00001,3,['KCHING']
EJ01,002,00004,10,"['WHOA', 'FREAKY']"
EJ05,007,00003,28,[]
EJ05,003,00002,7,"['WHO', 'HAVE', 'FALLEN', 'ILL', 'SINCE', 'THE', 'INCIPENT', 'FROM', 'SHOCK', '|']"
EJ05,001,00010,0,[]
EJ06,006,00011,26,['cHRA']
EJ01,004,00006,24,"['\xc2\xabAND', 'A', 'DIFFICULT', 'CHILD']"
EJ05,008,00005,17,"['MAYBE', 'SHE', 'TOOK', 'THOSE', 'TEN', 'MINUTES', 'TO', 'WRITE', 'INSIDE', 'THAT', '', 'DESK', '|']"
EJ06,002,00002,7,"['IT', ""ISN'T"", 'CLEAR', ')', 'WHETHER', '\\', 'THEY', 'RE', 'CREATURES', 'Al', 'FROM', 'ABOVE', '\\', '-', 'GROUND', '|', 'THAI', 'WERE', '-TRANS=-\\', '(FORMED', 'BY', 'FORBIDDEN', 'Z', 'C', 'ASPELLS.\xc2\xae', '~aTh']"
EJ02,005,00002,5,['Hikaru']
EJ05,009,00008,12,"['APPARENTLY', 'SOMEONE', 'STOLE', 'THE', 'MAGICAL', 'POWDER', ""HE'D"", 'BEEN', 'KEEPING', 'IN', 'THE', 'STOREHOUSE', '$0', 'HE', ""COULDN'T"", 'SELL', 'ANY', 'TO', '', 'ME', 'TODAY']"
EJ03,001,00006,5,"[""TODAY'S"", 'THE', 'RELEASE', 'DAY', 'FOR', 'THE', 'LIMITED-EDITION', 'TORAKON', 'VOLUME', 'ONE', 'DVD']"
EJ06,008,00005,11,"['Is', '/T', 'LOOKING', 'FOR', 'ITS', 'HEAD']"
EJ01,008,00008,0,['\xc2\xbbeLIVE-']
EJ05,006,00001,8,[]
EJ06,005,00010,21,"['OTHER', 'PEOPLE', 'WILL', 'HANDLE', 'THE', 'THINGS', 'YOU', ""AREN'T"", 'GOOD', 'AT']"
EJ07,008,00008,5,"['AND', ""YOU'RE"", 'NEXT']"
EJ07,005,00003,1,"['1', 'Hi', 'cms', 'ict', 'at', 'am', 'ee', 'LS', '\xc3\xa9', 'THAT']"
EJ04,009,00005,0,"['IT\xe2\x80\x99S', 'HUUUGE', '+t']"
EJ08,003,00003,8,"['SECOND', 'MATCH', 'EAST', 'HAND', '7', 'DEALER', 'Yuu']"
EJ08,001,00009,14,"['EAST-', 'SOUTH', 'GAME', 'THIRD', 'ROUND']"
EJ01,005,00007,18,['PLEASE']
